Date,Year,Month Number,Month Name,Month Short,Year-Month,Quarter,Day,Day Name,Week Number,Is Weekend
01-01-2024,2024,1,January,Jan,2024-01,Q1,1,Monday,1,No
02-01-2024,2024,1,January,Jan,2024-01,Q1,2,Tuesday,1,No
03-01-2024,2024,1,January,Jan,2024-01,Q1,3,Wednesday,1,No
04-01-2024,2024,1,January,Jan,2024-01,Q1,4,Thursday,1,No
05-01-2024,2024,1,January,Jan,2024-01,Q1,5,Friday,1,No
06-01-2024,2024,1,January,Jan,2024-01,Q1,6,Saturday,1,Yes
07-01-2024,2024,1,January,Jan,2024-01,Q1,7,Sunday,1,Yes
08-01-2024,2024,1,January,Jan,2024-01,Q1,8,Monday,2,No
09-01-2024,2024,1,January,Jan,2024-01,Q1,9,Tuesday,2,No
10-01-2024,2024,1,January,Jan,2024-01,Q1,10,Wednesday,2,No
11-01-2024,2024,1,January,Jan,2024-01,Q1,11,Thursday,2,No
12-01-2024,2024,1,January,Jan,2024-01,Q1,12,Friday,2,No
13-01-2024,2024,1,January,Jan,2024-01,Q1,13,Saturday,2,Yes
14-01-2024,2024,1,January,Jan,2024-01,Q1,14,Sunday,2,Yes
15-01-2024,2024,1,January,Jan,2024-01,Q1,15,Monday,3,No
16-01-2024,2024,1,January,Jan,2024-01,Q1,16,Tuesday,3,No
17-01-2024,2024,1,January,Jan,2024-01,Q1,17,Wednesday,3,No
18-01-2024,2024,1,January,Jan,2024-01,Q1,18,Thursday,3,No
19-01-2024,2024,1,January,Jan,2024-01,Q1,19,Friday,3,No
20-01-2024,2024,1,January,Jan,2024-01,Q1,20,Saturday,3,Yes
21-01-2024,2024,1,January,Jan,2024-01,Q1,21,Sunday,3,Yes
22-01-2024,2024,1,January,Jan,2024-01,Q1,22,Monday,4,No
23-01-2024,2024,1,January,Jan,2024-01,Q1,23,Tuesday,4,No
24-01-2024,2024,1,January,Jan,2024-01,Q1,24,Wednesday,4,No
25-01-2024,2024,1,January,Jan,2024-01,Q1,25,Thursday,4,No
26-01-2024,2024,1,January,Jan,2024-01,Q1,26,Friday,4,No
27-01-2024,2024,1,January,Jan,2024-01,Q1,27,Saturday,4,Yes
28-01-2024,2024,1,January,Jan,2024-01,Q1,28,Sunday,4,Yes
29-01-2024,2024,1,January,Jan,2024-01,Q1,29,Monday,5,No
30-01-2024,2024,1,January,Jan,2024-01,Q1,30,Tuesday,5,No
31-01-2024,2024,1,January,Jan,2024-01,Q1,31,Wednesday,5,No
01-02-2024,2024,2,February,Feb,2024-02,Q1,1,Thursday,5,No
02-02-2024,2024,2,February,Feb,2024-02,Q1,2,Friday,5,No
03-02-2024,2024,2,February,Feb,2024-02,Q1,3,Saturday,5,Yes
04-02-2024,2024,2,February,Feb,2024-02,Q1,4,Sunday,5,Yes
05-02-2024,2024,2,February,Feb,2024-02,Q1,5,Monday,6,No
06-02-2024,2024,2,February,Feb,2024-02,Q1,6,Tuesday,6,No
07-02-2024,2024,2,February,Feb,2024-02,Q1,7,Wednesday,6,No
08-02-2024,2024,2,February,Feb,2024-02,Q1,8,Thursday,6,No
09-02-2024,2024,2,February,Feb,2024-02,Q1,9,Friday,6,No
10-02-2024,2024,2,February,Feb,2024-02,Q1,10,Saturday,6,Yes
11-02-2024,2024,2,February,Feb,2024-02,Q1,11,Sunday,6,Yes
12-02-2024,2024,2,February,Feb,2024-02,Q1,12,Monday,7,No
13-02-2024,2024,2,February,Feb,2024-02,Q1,13,Tuesday,7,No
14-02-2024,2024,2,February,Feb,2024-02,Q1,14,Wednesday,7,No
15-02-2024,2024,2,February,Feb,2024-02,Q1,15,Thursday,7,No
16-02-2024,2024,2,February,Feb,2024-02,Q1,16,Friday,7,No
17-02-2024,2024,2,February,Feb,2024-02,Q1,17,Saturday,7,Yes
18-02-2024,2024,2,February,Feb,2024-02,Q1,18,Sunday,7,Yes
19-02-2024,2024,2,February,Feb,2024-02,Q1,19,Monday,8,No
20-02-2024,2024,2,February,Feb,2024-02,Q1,20,Tuesday,8,No
21-02-2024,2024,2,February,Feb,2024-02,Q1,21,Wednesday,8,No
22-02-2024,2024,2,February,Feb,2024-02,Q1,22,Thursday,8,No
23-02-2024,2024,2,February,Feb,2024-02,Q1,23,Friday,8,No
24-02-2024,2024,2,February,Feb,2024-02,Q1,24,Saturday,8,Yes
25-02-2024,2024,2,February,Feb,2024-02,Q1,25,Sunday,8,Yes
26-02-2024,2024,2,February,Feb,2024-02,Q1,26,Monday,9,No
27-02-2024,2024,2,February,Feb,2024-02,Q1,27,Tuesday,9,No
28-02-2024,2024,2,February,Feb,2024-02,Q1,28,Wednesday,9,No
29-02-2024,2024,2,February,Feb,2024-02,Q1,29,Thursday,9,No
01-03-2024,2024,3,March,Mar,2024-03,Q1,1,Friday,9,No
02-03-2024,2024,3,March,Mar,2024-03,Q1,2,Saturday,9,Yes
03-03-2024,2024,3,March,Mar,2024-03,Q1,3,Sunday,9,Yes
04-03-2024,2024,3,March,Mar,2024-03,Q1,4,Monday,10,No
05-03-2024,2024,3,March,Mar,2024-03,Q1,5,Tuesday,10,No
